Item #,Name,Type,Model,Brand,Price
100,Hi-Hats 14",Cymbal,AAX,Sabian,$299.99
101,Hi-Hats 15",Cymbal,AAX,Sabian,$320.99
102,Crash 18",Cymbal,HHX Complex,Sabian,$275.99
103,Crash-ride 20",Cymbal,Prototype HHX,Sabian,$355.99
104,Ride 20",Cymbal,HHX Complex,Sabian,$414.99
105,Ride 22",Cymbal,HHX Complex,Sabian,$484.99
106,Ride 20",Cymbal,Traditional,Bosphorus,$415.99
107,Ride (Dark) 20",Cymbal,Master Vintage,Bosphorus,$566.99
108,Ride (Dark) 22",Cymbal,Traditional,Istanbul Agop,$549.99
109,China 19",Cymbal,K Series,Zildjian,$384.99
110,Hi-Hats 14",Cymbal,L80 Series,Zildjian,$194.95
111,Cymbal Box Set,Cymbal,K Series,Zildjian,$1009.95
112,Drumsticks 5A,Sticks,Classic 5A,Vic Virth,$13.99
113,Drumsticks 5A (Black),Sticks,Classic 5A (Black),Vic Virth,$14.99